,user,churn,predicted_churn
0,61353,1.0,1
1,67679,0.0,0
2,21269,0.0,0
3,69531,0.0,1
4,25997,0.0,0
5,28827,0.0,0
6,58305,1.0,0
7,2351,0.0,1
8,11790,0.0,1
9,46727,0.0,0
10,65668,1.0,1
11,4664,0.0,0
12,41211,0.0,0
13,17451,0.0,0
14,17599,0.0,0
15,41826,1.0,1
16,67621,1.0,1
17,26736,0.0,1
18,39733,1.0,1
19,65867,0.0,0
20,50736,1.0,0
21,3897,1.0,1
22,34000,1.0,1
23,51830,1.0,1
24,33385,1.0,1
25,14403,1.0,1
26,42157,0.0,0
27,48917,1.0,1
28,27152,0.0,0
29,64314,0.0,1
30,32867,0.0,0
31,13489,1.0,1
32,10006,0.0,1
33,42800,1.0,1
34,46406,0.0,1
35,16514,0.0,0
36,131,0.0,1
37,7310,1.0,1
38,51090,1.0,0
39,62974,0.0,0
40,616,0.0,1
41,48511,1.0,0
42,6399,0.0,0
43,34395,0.0,1
44,45279,1.0,1
45,34106,1.0,1
46,67233,1.0,1
47,55936,0.0,0
48,42691,0.0,0
49,61966,0.0,1
50,3562,0.0,1
51,13791,0.0,1
52,13475,0.0,0
53,1606,1.0,1
54,12385,0.0,1
55,60197,0.0,1
56,28650,1.0,0
57,46135,1.0,1
58,55299,0.0,1
59,8402,0.0,1
60,64893,1.0,1
61,46268,0.0,0
62,31657,0.0,1
63,45209,0.0,0
64,10879,1.0,0
65,11270,0.0,1
66,32882,0.0,0
67,53082,1.0,0
68,379,0.0,1
69,4815,0.0,1
70,57273,1.0,1
71,67471,1.0,1
72,19518,0.0,1
73,15138,0.0,1
74,33289,0.0,0
75,60329,1.0,1
76,43223,0.0,1
77,68092,1.0,0
78,9553,0.0,1
79,9393,0.0,1
80,7702,1.0,0
81,7650,0.0,0
82,12002,0.0,1
83,31058,0.0,1
84,52063,1.0,0
85,2934,1.0,0
86,24986,0.0,0
87,18187,1.0,0
88,29060,1.0,1
89,40326,0.0,0
90,22861,1.0,1
91,31523,1.0,1
92,14626,1.0,1
93,62649,0.0,1
94,36364,1.0,1
95,27743,1.0,0
96,5859,1.0,1
97,63574,1.0,1
98,11812,0.0,1
99,53060,0.0,1
100,15361,0.0,1
101,6504,1.0,0
102,46569,0.0,1
103,57587,1.0,1
104,66441,0.0,0
105,10101,1.0,1
106,62646,1.0,1
107,49585,0.0,0
108,45117,0.0,1
109,63399,1.0,1
110,28593,0.0,1
111,4663,0.0,1
112,39808,0.0,1
113,57644,0.0,0
114,59890,1.0,1
115,49405,1.0,1
116,22492,1.0,0
117,24854,1.0,1
118,50106,1.0,1
119,22835,0.0,0
120,61222,1.0,1
121,68563,0.0,1
122,10662,0.0,1
123,15284,1.0,1
124,60814,0.0,0
125,58543,0.0,1
126,42370,0.0,0
127,16187,1.0,0
128,40932,1.0,1
129,34572,1.0,0
130,64400,0.0,0
131,8338,1.0,1
132,9543,1.0,1
133,34659,0.0,0
134,54180,0.0,1
135,33147,0.0,1
136,29159,0.0,0
137,37791,0.0,0
138,48925,1.0,1
139,67258,0.0,1
140,31752,0.0,1
141,31379,0.0,1
142,41167,1.0,1
143,53508,1.0,0
144,26199,0.0,1
145,31939,1.0,0
146,16799,0.0,1
147,23113,0.0,0
148,30302,0.0,1
149,58695,1.0,1
150,63099,0.0,1
151,38675,1.0,1
152,69628,1.0,0
153,27610,0.0,0
154,17432,1.0,1
155,61426,0.0,1
156,65497,1.0,1
157,65798,0.0,0
158,69335,1.0,1
159,47487,0.0,0
160,5005,1.0,1
161,63462,1.0,1
162,16919,1.0,1
163,56779,0.0,0
164,2623,1.0,1
165,52967,1.0,1
166,32369,0.0,1
167,39396,1.0,0
168,52555,1.0,0
169,3587,1.0,1
170,6605,0.0,0
171,66614,1.0,1
172,31840,0.0,0
173,14782,0.0,0
174,44015,0.0,1
175,43056,0.0,1
176,9372,1.0,1
177,31379,0.0,1
178,55831,0.0,1
179,21718,1.0,1
180,19406,0.0,0
181,5309,0.0,1
182,38072,0.0,1
183,52790,1.0,1
184,2811,0.0,1
185,22127,0.0,1
186,5128,0.0,1
187,53484,0.0,0
188,65847,0.0,1
189,66934,1.0,1
190,58686,1.0,1
191,36938,1.0,1
192,12459,0.0,1
193,63854,0.0,1
194,26949,0.0,0
195,46884,0.0,1
196,43856,1.0,0
197,43028,1.0,1
198,5456,1.0,1
199,21325,0.0,1
200,6744,0.0,1
201,13750,0.0,1
202,14222,1.0,0
203,67953,0.0,1
204,1867,1.0,1
205,49905,0.0,1
206,66749,0.0,0
207,23605,0.0,0
208,64125,1.0,1
209,33610,1.0,1
210,20330,0.0,1
211,47937,0.0,0
